old_url,new_url,redirect_type,sessions_12mo,ranking_keywords,tested,verified_prod,notes
/insights/autocad-2d-mechanical-drawing/,/news/autocad-2d-mechanical-drawing/,301,,,N,N,Article moved with the Insights to News rename
/bim/,/career-paths/bim-digital-construction/,301,,,N,N,Course hub maps to the career path
/revit-architecture-structure-mep-training-certification-course/,/programs/revit-architecture/,301,,,N,N,Combined legacy page
/our-courses/,/programs/,301,,,N,N,Index replaced by filterable programmes index
/about-us/,/about/,301,,,N,N,About rewritten
/blog/,/news/,301,,,N,N,Blog becomes News
/blog/autocad-basic-drawing-a-complete-guide/,/news/autocad-basic-drawing-guide/,301,,,N,N,Article migrated
/blog/master-autocad-2d-mechanical-drawing/,/news/autocad-2d-mechanical-drawing/,301,,,N,N,Article migrated
/insights/,/news/,301,,,N,N,Insights section renamed to News
/privacy-policy/,/privacy-policy/,n/a (retained),,,N,N,Retained
/terms-conditions/,/terms-conditions/,n/a (retained),,,N,N,Retained
/disclaimer-page/,/disclaimer/,301,,,N,N,Slug normalised
/contact/,/contact/,n/a (retained),,,N,N,Retained
/first-job-pakka/,/careers/first-job-pakka/,301,,,N,N,Promoted into the Careers section
/thank-you/,/contact/,301,,,N,N,Legacy form thank-you page — replaced by the in-page reward screen
